title,genre,rating,release_year
Movie 1,Drama,6.7,2011
Movie 2,Sci-Fi,9.3,2021
Movie 3,Sci-Fi,8.3,2008
Movie 4,Drama,7.7,2009
Movie 5,Horror,5.7,2011
Movie 6,Sci-Fi,5.7,2017
Movie 7,Documentary,5.3,2019
Movie 8,Sci-Fi,8.9,2015
Movie 9,Action,7.7,2008
Movie 10,Sci-Fi,8.2,2017
Movie 11,Horror,5.1,2011
Movie 12,Drama,9.4,2023
Movie 13,Action,8.7,2006
Movie 14,Sci-Fi,6.0,2014
Movie 15,Horror,5.8,2017
Movie 16,Documentary,5.8,2010
Movie 17,Sci-Fi,6.4,2016
Movie 18,Horror,7.4,2016
Movie 19,Documentary,6.9,2015
Movie 20,Drama,6.3,2011
Movie 21,Sci-Fi,7.8,2005
Movie 22,Documentary,5.6,2005
Movie 23,Action,6.3,2017
Movie 24,Drama,6.6,2013
Movie 25,Action,7.1,2007
Movie 26,Thriller,8.5,2011
Movie 27,Comedy,5.9,2010
Movie 28,Sci-Fi,7.3,2012
Movie 29,Documentary,7.7,2013
Movie 30,Comedy,5.2,2009
Movie 31,Comedy,7.7,2005
Movie 32,Documentary,5.8,2023
Movie 33,Drama,5.3,2014
Movie 34,Sci-Fi,9.3,2016
Movie 35,Thriller,9.3,2019
Movie 36,Action,8.6,2013
Movie 37,Horror,6.4,2021
Movie 38,Action,5.4,2021
Movie 39,Horror,8.1,2016
Movie 40,Action,7.0,2011
Movie 41,Documentary,5.5,2006
Movie 42,Thriller,7.2,2007
Movie 43,Sci-Fi,5.2,2021
Movie 44,Horror,9.1,2009
Movie 45,Sci-Fi,6.2,2021
Movie 46,Sci-Fi,8.0,2021
Movie 47,Sci-Fi,6.4,2021
Movie 48,Romance,7.3,2006
Movie 49,Drama,7.5,2006
Movie 50,Action,5.8,2009
Movie 51,Sci-Fi,9.4,2005
Movie 52,Action,8.5,2005
Movie 53,Sci-Fi,9.2,2023
Movie 54,Horror,9.0,2006
Movie 55,Drama,7.7,2016
Movie 56,Drama,9.1,2010
Movie 57,Documentary,5.4,2008
Movie 58,Romance,5.9,2015
Movie 59,Documentary,5.2,2021
Movie 60,Documentary,6.5,2010
Movie 61,Documentary,6.7,2009
Movie 62,Documentary,6.2,2006
Movie 63,Documentary,8.7,2010
Movie 64,Thriller,6.6,2015
Movie 65,Drama,6.3,2020
Movie 66,Documentary,7.4,2020
Movie 67,Sci-Fi,5.6,2005
Movie 68,Drama,8.6,2013
Movie 69,Drama,5.3,2010
Movie 70,Comedy,9.4,2020
Movie 71,Thriller,8.5,2007
Movie 72,Documentary,5.9,2008
Movie 73,Action,5.0,2023
Movie 74,Horror,8.7,2007
Movie 75,Romance,8.2,2023
Movie 76,Sci-Fi,8.3,2011
Movie 77,Action,8.5,2013
Movie 78,Thriller,5.3,2005
Movie 79,Horror,6.6,2012
Movie 80,Thriller,5.5,2011
Movie 81,Sci-Fi,8.9,2022
Movie 82,Drama,7.8,2012
Movie 83,Horror,6.5,2005
Movie 84,Drama,5.3,2015
Movie 85,Sci-Fi,6.4,2022
Movie 86,Action,6.5,2014
Movie 87,Sci-Fi,8.3,2007
Movie 88,Action,7.9,2011
Movie 89,Horror,9.0,2020
Movie 90,Horror,7.1,2020
Movie 91,Documentary,5.5,2021
Movie 92,Thriller,8.2,2006
Movie 93,Documentary,8.4,2005
Movie 94,Thriller,7.5,2020
Movie 95,Documentary,8.5,2016
Movie 96,Drama,7.2,2009
Movie 97,Horror,7.4,2009
Movie 98,Action,6.9,2013
Movie 99,Thriller,5.1,2013
Movie 100,Sci-Fi,5.5,2007
